Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405463417.1,487602457.7,596423607.1,695304363,764887117.2,872138715.1,958463184.4,1082979721,1245688268,1320474860,1379960894,1531944134,1665100559,1722798883,1873452514,1920111732,1941340782,2021229050,2228491620,2330726257,2424581006,2615083799,2745251397,2498882682,2390502793,2549720670,2534636872,2727849721,2790849162,2962905028,2983636872,3092430168,3202188607,,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,19299444453,19709535909,21478715486,25715008783,23510800233,26791601696,29131535493,30151828540,32853799013,37717646993,40287263977,44445200471,48267317151,62938945070,78195532918,83376544653,83151564592,94921754118,106270914813,124410159538,156402020580,160264604350,154559945630,159644504107,145918624822,130347551479,146921174385,179612311195,188869581508,194405736392,212185847636,220607545656,220063005938,233869615673,238919172018,269498561282,268250521536,282013878701,265649661676,262011704778,283751640321,258660109001,264707648997,352442599635,438565119111,511897508172,575568771652,660774462147,707853210441,712053896957,846810044360,942710850898,949849051927,963560356978,983748641614,918647122202,872023488531,984255550008,1011723274893,1008375499871,918815487643
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,,,,,,,,,,,,,,,,,,,,,4055179566,4515558808,5226778809,6209137625,6971285595,9747879532,10109305183,12416161049,15856678596,17805113119,19907317066,20146404996,20497126770,19134211764,18116562465,18753469630,18053228579,18799450743,20116137326
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,10404280784,11128050589,11943353288,12676515454,13838577015,14862472886,15832846881,14426432397,14880350847,16882094303,23504608015,20832819361,25264956496,31273822294,44214489606,51444737234,62129396933,65315014927,71199715512,88628410997,112031316717,211003522772,187163730429,138115205724,114262672752,116507304373,107497531255,110321757309,108943462603,101768781748,121802185300,117457042741,118282284599,98826405551,86281770253,108221322523,125763049173,127063932193,130106844607,137520164451,140407973779,148012003011,176933365387,204641949830,254090255061,310554338478,393296680919,461777599574,566425696837,506996402016,591582966686,670962551548,727571396578,820787588844,851487150652,760729687147,690543020916,683741574626,741691624373,794572474606,784587603323
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5934073604,5553824464,5553824464,5787823809,6135166254,7558613008,7076793823,8089279285,8775116269,10207922517,11236275843,,,,3390500000,5561222222,7526963964,7649716157,6506619145,6152936539,9129634978,8936063723,15285594828,17812705294,23552052408,36970918699,52381006892,65266452081,88538611205,70307163678,83799496611,111789686464,128052853643,136709862831,145712200313,116193649124,101123851090,122123822334,101353230785,89417190341,58375976293
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1857338012,1897050133,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174990.8,1185315468,1880951520,2392764853,3199641336,2258513974,2545964541,3212121651,3480355258,3922100794,4348068242,5611496257,7184685782,8052073539,8896072919,10677324144,12881353508,12044208086,11926922829,12890764531,12319830437,12776220507,13228147516,11386850130,11861199831,13019689337,15156432310,15400242875,14887629268
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78619206.09,89409820.36,113408231.9,150820102.8,186558696.3,220127246.4,227281024.6,254020153.3,308008897.6,411578334.2,446416105.8,388958731.3,375895956.4,327861832.9,330070689.3,346737964.8,482000594,611316399.4,721425939.2,795449332.4,1029048482,1106928583,1210013652,1007025755,1017549124,1178738991,1223945357,1180597273,1211932398,1239876305,1429049198,1546926174,1755910032,2361726862,2894921778,3159905484,3456442103,3952600602,4085630584,3674409558,3449966857,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750,3218316013,3155065488,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,35078720524,38227279777,43222514240,49925445321,59481318267,75456689114,143056278631,158175180744,196889997696,227360108631,249530008935,339195156953,458967895331,474809203244,445859167401,419155475693,425802178834,424831835748,413760375235,450002200592,426714430187,450081912523,622546502910,438682148808,473712092204,482663391259,507659657046,555939076959,614062290582,662176074567,644356749485,712683742626,815844667572,798335007343,802951234861,887662901502,1056020815871,1297615397410,1532823526116,1789133966866,2253682728963,1973891055459,2302594798940,2491545638943,2728987909782,2787516210231,2818609932969,2452006404164,2400962304203,2455071315221,2717932648633,2763204997183,2436287867171
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720672507,19213022691,24871775165,23775831783,31225463218,43598748449,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,104337372362,103311640572,109816201498,124346358067,147824370320,180617467965,222116541865,257916133424,315474615739,253547358747,289787338325,350666031314,374590605854,390107556161,403137100068,358135057862,357045064670,385605506848,422215043594,417215559513,358868765175
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,24450604878,18272123664,25605249382,28344705967,28630474728,24256667553,26436857247,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,103979106778,79092001998,88416668900,110934442763,111106191358,126206817196,76636898036,141352368715,189719984268,228788617202,236741715015,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004252,127586973492,164657930453,198737095012,232557260817,287530508431,361558037110,332976484578,423627422092,530163281575,545982375701,552025140252,526319673732,594749285413,557531376218,643628665302,524819742919,451932356086,389288056265
