"iso3c","GDP","code","cases","deaths","country","year","value","Population","deaths_per_capita","cases_per_capita","GDP_per_capita","Region","fatality"
"AUS",1327836171069,"AU",28350,909,"Australia","2019",7.3,25687041,3.53874936393024e-05,0.00110366935607725,51692.8427477887,1,0.0320634920634921
"AUT",433258467677,"AT",353080,6256,"Austria","2019",6.6,8917205,0.000701565120460952,0.0395953664853505,48586.8013213782,1,0.0177183641101167
"BEL",521861292587,"BE",646437,19684,"Belgium","2019",7.3,11555997,0.00170335800537158,0.0559395264640515,45159.3482230049,1,0.0304499897128413
"BRA",1444733258972,"BR",7504833,191570,"Brazil","2013",2.8,212559409,0.00090125391720486,0.0353069903388751,6796.84454228041,3,0.0255262175720632
"CAN",1644037286481,"CA",559064,15222,"Canada","2019",6.6,38005238,0.000400523738333121,0.0147101828437438,43258.1763198273,2,0.0272276519325158
"CHE",752248045730,"CH",446959,7425,"Switzerland","2017",4.3,8636896,0.000859683849382926,0.0517499573921001,87097.0364503637,1,0.016612261974812
"CHL",252940023046,"CL",603986,16488,"Chile","2019",2.9,19116209,0.00086251411040756,0.0315954905075583,13231.7042069377,3,0.0272986459951058
"COL",271437596294,"CO",1603807,42374,"Colombia","2019",2.6,50882884,0.000832775123359753,0.0315195773887345,5334.55604234225,1,0.0264208848072118
"CRI",61846895121,"CR",165762,2144,"Costa Rica","2019",2.3,5094114,0.000420877899473785,0.0325399078230287,12140.8541546184,3,0.0129342068749171
"CZE",245349489988,"CZ",702411,11737,"Czechia","2019",8.2,10698896,0.00109702907664492,0.065652661732575,22932.2249686323,1,0.016709590254139
"DEU",3846413928654,"DE",1687185,32107,"Germany","2019",9.8,83240525,0.00038571356920202,0.0202687933551596,46208.4294717507,1,0.0190299226225933
"DNK",356084867686,"DK",162573,1284,"Denmark","2019",4,5831404,0.000220187111028493,0.027878877882582,61063.3164304857,1,0.00789799044121718
"ESP",1281484640044,"ES",1947543,54144,"Spain","2017",7.3,47351567,0.00114344684728174,0.0411294308380544,27063.1939180387,1,0.0278011833371587
"EST",30650285472,"EE",27256,226,"Estonia","2019",5.5,1331057,0.00016978987376198,0.0204769592887457,23027.0269958386,1,0.0082917522747285
"FIN",269751312854,"FI",36168,588,"Finland","2019",4.4,5530719,0.0001063152910137,0.00653947524725085,48773.2811690487,1,0.0162574651625747
"FRA",2630317731455,"FR",2563604,63701,"France","2018",5.9,67391582,0.000945236750785877,0.0380404187573457,39030.3603713443,1,0.0248482214881862
"GBR",2764197653965,"GB",2480981,74452,"United Kingdom","2009",5,67215293,0.00110766459055679,0.036910960129267,41124.5347686724,1,0.030009097207919
"GRC",188835201626,"GR",137599,4730,"Greece","2019",3.2,10715549,0.000441414620940094,0.0128410592868364,17622.5410033588,1,0.0343752498201295
"HUN",155808436238,"HU",319543,9429,"Hungary","2019",10.7,9749763,0.000967100431056632,0.0327744376965881,15980.7408895991,1,0.0295077657780017
"IRL",425888950992,"IE",88397,2269,"Ireland","2019",5.8,4994724,0.000454279355576004,0.0176980750087492,85267.7647437576,1,0.0256682919103589
"ISL",21718075725,"IS",5747,29,"Iceland","2014",5.9,366425,7.91430715698983e-05,0.0156839735280071,59270.1800504878,1,0.00504611101444232
"ISR",407100736594,"IL",413864,3321,"Israel","2019",8.2,9216900,0.000360316375353969,0.0449027330230338,44168.9436354957,5,0.00802437515705642
"ITA",1888709443687,"IT",2067487,73029,"Italy","2019",10.4,59554023,0.00122626476468265,0.034716160149248,31714.2209467025,1,0.0353225921130338
"JPN",5057758958707,"JP",226596,3349,"Japan","2018",12.5,125836021,2.66140010895608e-05,0.00180072445234104,40193.2524448385,4,0.0147796077600664
"KOR",1637895802793,"KR",59755,879,"South Korea","2019",17.2,51780579,1.69754764619376e-05,0.00115400409099327,31631.4694509886,4,0.014710066103255
"LTU",56546957475,"LT",141754,1747,"Lithuania","2019",9.5,2794700,0.000625111818799871,0.0507224389022077,20233.6413479085,1,0.0123241672192672
"LUX",73353132794,"LU",46009,487,"Luxembourg","2019",5.5,632275,0.000770234470760349,0.0727673876082401,116014.602497331,1,0.0105848855658675
"LVA",33707320816,"LV",37676,603,"Latvia","2019",6.1,1901548,0.000317110059803907,0.0198133310334527,17726.2529349772,1,0.0160048837456206
"MEX",1073915880823,"MX",1479968,146652,"Mexico","2019",2.3,128932753,0.00113743014546505,0.0114786038889591,8329.27131264311,2,0.0990913317044693
"NLD",913865395790,"NL",776425,11185,"Netherlands","2019",8.8,17441139,0.000641299860060745,0.0445168747293396,52397.1167129624,1,0.0144057700357407
"NOR",362522347110,"NO",49144,429,"Norway","2019",4.4,5379475,7.97475590090111e-05,0.0091354639625614,67389.9120471793,1,0.00872944815236855
"NZL",210700848974,"NZ",1796,25,"New Zealand","2017",3.8,5084300,4.91709773223453e-06,0.000353244301083728,41441.4666667978,7,0.0139198218262806
"POL",596624355720,"PL",1284624,28109,"Poland","2019",7.7,37950802,0.000740669459370055,0.0338497194341242,15720.9946635647,1,0.0218811107374609
"PRT",228539245045,"PT",400002,6751,"Portugal","2012",4.1,10305564,0.000655083021171864,0.0388141784379778,22176.2967116598,1,0.0168774156129219
"RUS",1483497784868,"RU",3131550,56426,"Russia","2019",9.9,144104080,0.00039156420831388,0.0217311681945438,10294.6272226852,1,0.0180185531126758
"SVK",105172564492,"SK",173228,2065,"Slovakia","2019",11.1,5458827,0.000378286397425674,0.0317335574107771,19266.5135737037,1,0.0119207056595931
"SVN",53589609581,"SI",117403,2924,"Slovenia","2019",6.7,2100126,0.00139229741453608,0.0559028363060121,25517.3306653982,1,0.0249056668057886
"SWE",541220059459,"SE",428428,9577,"Sweden","2019",2.6,10353442,0.00092500638917956,0.0413802482304918,52274.4087868556,1,0.0223538144098892
"TUR",719954821683,"TR",2178580,20388,"Turkey","2019",9.8,84339067,0.000241738505359562,0.025831208211018,8536.43331960265,1,0.00935838940961544
"USA",2.0893746e+13,"US",19372111,348480,"United States","2011",4,329484123,0.00105765339108616,0.0587952791886121,63413.5138584508,2,0.0179887468123634
"ZAF",335442101366,"ZA",1021451,27568,"South Africa","2012",2.5,59308690,0.000464822271407445,0.0172226194845983,5655.86765389692,6,0.0269890577227885
